query_toks_no_value,question,table name
"['select', 'count', '(', '*', ')', 'from', 'singer']",How many singers do we have?,['singer']
"['select', 'count', '(', '*', ')', 'from', 'singer']",What is the total number of singers?,['singer']
"['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","Show name, country, age for all singers ordered by age from the oldest to the youngest.",['singer']
"['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","What are the names, countries, and ages for every singer in descending order of age?",['singer']
"['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","What is the average, minimum, and maximum age of all singers from France?",['singer']
"['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","What is the average, minimum, and maximum age for all French singers?",['singer']
"['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']",Show the name and the release year of the song by the youngest singer.,['singer']
"['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']",What are the names and release years for all the songs of the youngest singer?,['singer']
"['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']",What are all distinct countries where singers above age 20 are from?,['singer']
"['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']",What are  the different countries with singers above age 20?,['singer']
"['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']",Show all countries and the number of singers in each country.,['singer']
"['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']",How many singers are from each country?,['singer']
"['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']",List all song names by singers above the average age.,"['singer', 'singer']"
"['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']",What are all the song names by singers who are older than average?,"['singer', 'singer']"
"['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']",Show location and name for all stadiums with a capacity between 5000 and 10000.,['stadium']
"['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']",What are the locations and names of all stations with capacity between 5000 and 10000?,['stadium']
"['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']",What is the maximum capacity and the average of all stadiums ?,['stadium']
"['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']",What is the average and maximum capacities for all stadiums ?,['stadium']
"['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']",What is the name and capacity for the stadium with highest average attendance?,['stadium']
"['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']",What is the name and capacity for the stadium with the highest average attendance?,['stadium']
"['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']",How many concerts are there in year 2014 or 2015?,['concert']
"['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']",How many concerts occurred in 2014 or 2015?,['concert']
"['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']",Show the stadium name and the number of concerts in each stadium.,"['concert', 'stadium']"
"['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","For each stadium, how many concerts play there?","['concert', 'stadium']"
"['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', '=', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Show the stadium name and capacity with most number of concerts in year 2014 or after.,"['concert', 'stadium']"
"['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the name and capacity of the stadium with the most concerts after 2013 ?,"['concert', 'stadium']"
"['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which year has most number of concerts?,['concert']
"['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the year that had the most concerts?,['concert']
"['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']",Show the stadium names without any concert.,"['stadium', 'concert']"
"['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']",What are the names of the stadiums without any concerts?,"['stadium', 'concert']"
"['select', 'country', 'from', 'singer', 'where', 'age', '>', 'value', 'intersect', 'select', 'country', 'from', 'singer', 'where', 'age', '<', 'value']",Show countries where a singer above age 40 and a singer below 30 are from.,"['singer', 'singer']"
"['select', 'name', 'from', 'stadium', 'except', 'select', 't2', '.', 'name', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']",Show names for all stadiums except for stadiums having a concert in year 2014.,"['stadium', 'concert', 'stadium']"
"['select', 'name', 'from', 'stadium', 'except', 'select', 't2', '.', 'name', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']",What are the names of all stadiums that did not have a concert in 2014?,"['stadium', 'concert', 'stadium']"
"['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']",Show the name and theme for all concerts and the number of singers in each concert.,"['singer_in_concert', 'concert']"
"['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']","What are the names , themes , and number of singers for every concert ?","['singer_in_concert', 'concert']"
"['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'group', 'by', 't2', '.', 'singer_id']",List singer names and number of concerts for each singer.,"['singer_in_concert', 'singer']"
"['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'group', 'by', 't2', '.', 'singer_id']",What are the names of the singers and number of concerts for each person?,"['singer_in_concert', 'singer']"
"['select', 't2', '.', 'name', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'join', 'concert', 'as', 't3', 'on', 't1', '.', 'concert_id', '=', 't3', '.', 'concert_id', 'where', 't3', '.', 'year', '=', 'value']",List all singer names in concerts in year 2014.,"['singer_in_concert', 'singer', 'concert']"
"['select', 't2', '.', 'name', 'from', 'singer_in_concert', 'as', 't1', 'join', 'singer', 'as', 't2', 'on', 't1', '.', 'singer_id', '=', 't2', '.', 'singer_id', 'join', 'concert', 'as', 't3', 'on', 't1', '.', 'concert_id', '=', 't3', '.', 'concert_id', 'where', 't3', '.', 'year', '=', 'value']",What are the names of the singers who performed in a concert in 2014?,"['singer_in_concert', 'singer', 'concert']"
"['select', 'name', ',', 'country', 'from', 'singer', 'where', 'song_name', 'like', 'value']",what is the name and nation of the singer who have a song having 'Hey' in its name?,['singer']
"['select', 'name', ',', 'country', 'from', 'singer', 'where', 'song_name', 'like', 'value']",What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,['singer']
"['select', 't2', '.', 'name', ',', 't2', '.', 'location', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value', 'intersect', 'select', 't2', '.', 'name', ',', 't2', '.', 'location', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']",Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"['concert', 'stadium', 'concert', 'stadium']"
"['select', 't2', '.', 'name', ',', 't2', '.', 'location', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value', 'intersect', 'select', 't2', '.', 'name', ',', 't2', '.', 'location', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']",What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"['concert', 'stadium', 'concert', 'stadium']"
"['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'stadium_id', '=', '(', 'select', 'stadium_id', 'from', 'stadium', 'order', 'by', 'capacity', 'desc', 'limit', 'value', ')']",Find the number of concerts happened in the stadium with the highest capacity .,"['concert', 'stadium']"
"['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'stadium_id', '=', '(', 'select', 'stadium_id', 'from', 'stadium', 'order', 'by', 'capacity', 'desc', 'limit', 'value', ')']",What are the number of concerts that occurred in the stadium with the largest capacity ?,"['concert', 'stadium']"
"['select', 'count', '(', '*', ')', 'from', 'pets', 'where', 'weight', '>', 'value']",Find the number of pets whose weight is heavier than 10.,['pets']
"['select', 'count', '(', '*', ')', 'from', 'pets', 'where', 'weight', '>', 'value']",How many pets have a greater weight than 10?,['pets']
"['select', 'weight', 'from', 'pets', 'order', 'by', 'pet_age', 'limit', 'value']",Find the weight of the youngest dog.,['pets']
"['select', 'weight', 'from', 'pets', 'order', 'by', 'pet_age', 'limit', 'value']",How much does the youngest dog weigh?,['pets']
"['select', 'max', '(', 'weight', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",Find the maximum weight for each type of pet. List the maximum weight and pet type.,['pets']
"['select', 'max', '(', 'weight', ')', ',', 'pettype', 'from', 'pets', 'group', 'by', 'pettype']",List the maximum weight and type for each type of pet.,['pets']
"['select', 'count', '(', '*', ')', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'where', 't1', '.', 'age', '>', 'value']",Find number of pets owned by students who are older than 20.,"['student', 'has_pet']"
"['select', 'count', '(', '*', ')', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'where', 't1', '.', 'age', '>', 'value']",How many pets are owned by students that have an age greater than 20?,"['student', 'has_pet']"
"['select', 'count', '(', '*', ')', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't2', '.', 'petid', '=', 't3', '.', 'petid', 'where', 't1', '.', 'sex', '=', 'value', 'and', 't3', '.', 'pettype', '=', 'value']",Find the number of dog pets that are raised by female students (with sex F).,"['student', 'has_pet', 'pets']"
"['select', 'count', '(', '*', ')', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't2', '.', 'petid', '=', 't3', '.', 'petid', 'where', 't1', '.', 'sex', '=', 'value', 'and', 't3', '.', 'pettype', '=', 'value']",How many dog pets are raised by female students?,"['student', 'has_pet', 'pets']"
"['select', 'count', '(', 'distinct', 'pettype', ')', 'from', 'pets']",Find the number of distinct type of pets.,['pets']
"['select', 'count', '(', 'distinct', 'pettype', ')', 'from', 'pets']",How many different types of pet are there?,['pets']
"['select', 'distinct', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'or', 't3', '.', 'pettype', '=', 'value']",Find the first name of students who have cat or dog pet.,"['student', 'has_pet', 'pets']"
"['select', 'distinct', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'or', 't3', '.', 'pettype', '=', 'value']",What are the first names of every student who has a cat or dog as a pet?,"['student', 'has_pet', 'pets']"
"['select', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value', 'intersect', 'select', 't1', '.', 'fname', 'from', 'student', 'as', 't1', 'join', 'has_pet', 'as', 't2', 'on', 't1', '.', 'stuid', '=', 't2', '.', 'stuid', 'join', 'pets', 'as', 't3', 'on', 't3', '.', 'petid', '=', 't2', '.', 'petid', 'where', 't3', '.', 'pettype', '=', 'value']",Find the first name of students who have both cat and dog pets .,"['student', 'has_pet', 'pets', 'student', 'has_pet', 'pets']"
