Representacao,Numero_de_documentos, Media precisao,Media recall
serialized_flat,50,1,1
linearized_column_wise,50,0.92,0.92
linearized_row_wise,50,1,1
template_based,50,1,1
markdown,50,1,1
html_like,50,0.98,0.98
column_header_value_triples,50,0.88,0.88
schema_description,50,0.94,0.94
contextualized_representation,50,0.94,0.94
serialized_flat,100,0.98,0.98
linearized_column_wise,100,0.86,0.86
linearized_row_wise,100,0.98,0.98
template_based,100,0.97,0.97
markdown,100,0.99,0.99
html_like,100,0.96,0.96
column_header_value_triples,100,0.79,0.79
schema_description,100,0.91,0.91
contextualized_representation,100,0.9,0.9
serialized_flat,200,0.98,0.98
linearized_column_wise,200,0.86,0.86
linearized_row_wise,200,0.98,0.98
template_based,200,0.97,0.97
markdown,200,0.99,0.99
html_like,200,0.96,0.96
column_header_value_triples,200,0.79,0.79
schema_description,200,0.9,0.9
contextualized_representation,200,0.89,0.89
,,,
