Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
Clubs relegated from Série ACampeonato Brasileiro Série A,serialized_flat,1,"Index([0], dtype='int64')",[0],"precision: 1.0
recall: 1.0","[[{'corpus_id': 0, 'score': 0.13008062541484833}]]",52
AllotropesCarbon,serialized_flat,1,"Index([4], dtype='int64')",[4],"precision: 1.0
recall: 1.0","[[{'corpus_id': 4, 'score': 0.35178595781326294}]]",52
AluminiumAluminium,serialized_flat,1,"Index([22], dtype='int64')",[5],"precision: 0.0
recall: 0.0","[[{'corpus_id': 5, 'score': 0.21400782465934753}]]",52
Apollo_11,serialized_flat,1,"Index([], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.3659537136554718}]]",52
Automatic speech recognitionDeep learning,serialized_flat,1,"Index([43], dtype='int64')",[43],"precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.1212632954120636}]]",52
Bluetooth device power by class Bluetooth,serialized_flat,1,"Index([25], dtype='int64')",[25],"precision: 1.0
recall: 1.0","[[{'corpus_id': 25, 'score': 0.17940178513526917}]]",52
Chlorine oxoacids and oxyanionsChlorine,serialized_flat,1,"Index([37], dtype='int64')",[37],"precision: 1.0
recall: 1.0","[[{'corpus_id': 37, 'score': 0.1750946193933487}]]",52
Common purposesDam,serialized_flat,1,"Index([47], dtype='int64')",[47],"precision: 1.0
recall: 1.0","[[{'corpus_id': 47, 'score': 0.2317296266555786}]]",52
Comparison of motor types Electric motor,serialized_flat,1,"Index([44], dtype='int64')",[44],"precision: 1.0
recall: 1.0","[[{'corpus_id': 44, 'score': 0.22057080268859863}]]",52
"Comparison of Union and Confederacy, 1860–1864[245][246] American Civil War",serialized_flat,1,"Index([2], dtype='int64')",[2],"precision: 1.0
recall: 1.0","[[{'corpus_id': 2, 'score': 0.19214017689228058}]]",52
Currently docked_berthedInternational Space Station,serialized_flat,1,"Index([8], dtype='int64')",[9],"precision: 0.0
recall: 0.0","[[{'corpus_id': 9, 'score': 0.13665299117565155}]]",52
Current squadBrazil national football team,serialized_flat,1,"Index([1], dtype='int64')",[1],"precision: 1.0
recall: 1.0","[[{'corpus_id': 1, 'score': 0.09482206404209137}]]",52
Decay modes in NUBASE2020[30] Radioactive decay,serialized_flat,1,"Index([32], dtype='int64')",[32],"precision: 1.0
recall: 1.0","[[{'corpus_id': 32, 'score': 0.2237687110900879}]]",52
Electromagnetic radiation interaction with matter Electromagnetic spectrum,serialized_flat,1,"Index([18], dtype='int64')",[18],"precision: 1.0
recall: 1.0","[[{'corpus_id': 18, 'score': 0.26007649302482605}]]",52
Electron configurationsPeriodic table,serialized_flat,1,"Index([3], dtype='int64')",[3],"precision: 1.0
recall: 1.0","[[{'corpus_id': 3, 'score': 0.05181638523936272}]]",52
