Unnamed: 0,Year,Union,Confederacy
Population,1860,"22,100,000 (71%)","9,100,000 (29%)"
Population,1864,"28,800,000 (90%)[j]","3,000,000 (10%)[247]"
Free,1860,"21,700,000 (98%)","5,600,000 (62%)"
Slave,1860,"490,000 (2%)","3,550,000 (38%)"
Slave,1864,negligible,"1,900,000[k]"
Soldiers,1860–64,"2,100,000 (67%)","1,064,000 (33%)"
Railroad miles[248],1860,"21,800 (71%)","8,800 (29%)"
Railroad miles[248],1864,"29,100 (98%)[l]",negligible
Manufactures,1860,90%,10%
Manufactures,1864,98%,2%
Arms production,1860,97%,3%
Arms production,1864,98%,2%
Cotton bales,1860,negligible,4500000
Cotton bales,1864,300000,negligible
Exports,1860,30%,70%
Exports,1864,98%,2%
