No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1.0,GK,Hugo Souza,31 January 1999 (age 27),1.0,0.0,Corinthians
12.0,GK,Bento,10 June 1999 (age 26),6.0,0.0,Al-Nassr
23.0,GK,Ederson,17 August 1993 (age 32),31.0,0.0,Fenerbahçe
,,,,,,
6.0,DF,Douglas Santos,22 March 1994 (age 32),4.0,0.0,Zenit Saint Petersburg
13.0,DF,Danilo Luiz (third captain),15 July 1991 (age 34),67.0,1.0,Flamengo
14.0,DF,Bremer,18 March 1997 (age 29),6.0,1.0,Juventus
15.0,DF,Léo Pereira,31 January 1996 (age 30),1.0,0.0,Flamengo
16.0,DF,Kaiki,8 March 2003 (age 23),0.0,0.0,Cruzeiro
24.0,DF,Roger Ibañez,23 November 1998 (age 27),4.0,0.0,Al-Ahli
,DF,Marquinhos (captain),14 May 1994 (age 31),103.0,7.0,Paris Saint-Germain
,DF,Vitor Reis,12 January 2006 (age 20),0.0,0.0,Girona
,,,,,,
5.0,MF,Casemiro (vice-captain),23 February 1992 (age 34),83.0,8.0,Manchester United
8.0,MF,Andrey Santos,3 May 2004 (age 21),5.0,0.0,Chelsea
17.0,MF,Fabinho,23 October 1993 (age 32),30.0,0.0,Al-Ittihad
18.0,MF,Danilo Oliveira,29 April 2001 (age 24),1.0,0.0,Botafogo
25.0,MF,Gabriel Sara,26 June 1999 (age 26),1.0,0.0,Galatasaray
,,,,,,
7.0,FW,Matheus Cunha,27 May 1999 (age 26),20.0,1.0,Manchester United
9.0,FW,João Pedro,26 September 2001 (age 24),7.0,0.0,Chelsea
10.0,FW,Vinícius Júnior,12 July 2000 (age 25),46.0,8.0,Real Madrid
19.0,FW,Endrick,21 July 2006 (age 19),14.0,3.0,Lyon
20.0,FW,Luiz Henrique,2 January 2001 (age 25),12.0,2.0,Zenit Saint Petersburg
21.0,FW,Igor Thiago,26 June 2001 (age 24),1.0,0.0,Brentford
22.0,FW,Gabriel Martinelli,18 June 2001 (age 24),21.0,3.0,Arsenal
26.0,FW,Rayan,3 August 2006 (age 19),0.0,0.0,Bournemouth
