Vehicle,Takeoff mass,Final mass,Mass ratio,Mass fraction
Ariane 5 (vehicle + payload),"746,000 kg [85] (~1,645,000 lb)","2,700 kg + 16,000 kg[85] (~6,000 lb + ~35,300 lb)",39.9,0.975
Titan 23G first stage,"117,020 kg (258,000 lb)","4,760 kg (10,500 lb)",24.6,0.959
Saturn V,"3,038,500 kg[86] (~6,700,000 lb)","13,300 kg + 118,000 kg[86] (~29,320 lb + ~260,150 lb)",23.1,0.957
Space Shuttle (vehicle + payload),"2,040,000 kg (~4,500,000 lb)","104,000 kg + 28,800 kg (~230,000 lb + ~63,500 lb)",15.4,0.935
Saturn 1B (stage only),"448,648 kg[87] (989,100 lb)","41,594 kg[87] (91,700 lb)",10.7,0.907
Virgin Atlantic GlobalFlyer,"10,024.39 kg (22,100 lb)","1,678.3 kg (3,700 lb)",6.0,0.83
V-2,"13,000 kg (~28,660 lb) (12.8 ton)",,3.85,0.74 [88]
X-15,"15,420 kg (34,000 lb)","6,620 kg (14,600 lb)",2.3,0.57[89]
Concorde,"~181,000 kg (400,000 lb [89])",,2.0,0.5[89]
Boeing 747,"~363,000 kg (800,000 lb[89])",,2.0,0.5[89]
