Club,Season,League,League,League,State league[a],State league[a],National cup[b],National cup[b],League cup[c],League cup[c],Continental,Continental,Other,Other,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Santos,2009,Série A,33,10,12,3,3,1,—,—,—,—,—,—,48,14
Santos,2010,Série A,31,17,19,14,8,11,—,—,2[d],0,—,—,60,42
Santos,2011,Série A,21,13,11,4,—,—,—,—,13[e],6,2[f],1,47,24
Santos,2012,Série A,17,14,16,20,—,—,—,—,12[e],8,2[g],1,47,43
Santos,2013,Série A,1,0,18,12,4,1,—,—,—,—,—,—,23,13
Santos,Total,Total,103,54,76,53,15,13,—,—,27,14,4,2,225,136
Barcelona,2013–14,La Liga,26,9,—,—,3,1,—,—,10[h],4,2[i],1,41,15
Barcelona,2014–15,La Liga,33,22,—,—,6,7,—,—,12[h],10,—,—,51,39
Barcelona,2015–16,La Liga,34,24,—,—,5,4,—,—,9[h],3,1[f],0,49,31
Barcelona,2016–17,La Liga,30,13,—,—,6,3,—,—,9[h],4,0,0,45,20
Barcelona,Total,Total,123,68,—,—,20,15,—,—,40,21,3,1,186,105
Paris Saint-Germain,2017–18,Ligue 1,20,19,—,—,1,2,2,1,7[h],6,—,—,30,28
Paris Saint-Germain,2018–19,Ligue 1,17,15,—,—,3,2,1,1,6[h],5,1[j],0,28,23
Paris Saint-Germain,2019–20,Ligue 1,15,13,—,—,2,2,3,1,7[h],3,0,0,27,19
Paris Saint-Germain,2020–21,Ligue 1,18,9,—,—,3,1,—,—,9[h],6,1[j],1,31,17
Paris Saint-Germain,2021–22,Ligue 1,22,13,—,—,0,0,—,—,6[h],0,0,0,28,13
Paris Saint-Germain,2022–23,Ligue 1,20,13,—,—,2,1,—,—,6[h],2,1[j],2,29,18
Paris Saint-Germain,Total,Total,112,82,—,—,11,8,6,3,41,22,3,3,173,118
Al-Hilal,2023–24,Saudi Pro League,3,0,—,—,0,0,—,—,2[k],1,0,0,5,1
Al-Hilal,2024–25,Saudi Pro League,0,0,—,—,0,0,—,—,2[k],0,0,0,2,0
Al-Hilal,Total,Total,3,0,—,—,0,0,—,—,4,1,0,0,7,1
Santos,2025,Série A,20,8,7,3,1,0,—,—,—,—,—,—,28,11
Santos,2026,Série A,1,2,2,0,0,0,—,—,0,0,—,—,3,2
Santos,Total,Total,21,10,9,3,1,0,—,—,0,0,—,—,31,13
Career total,Career total,Career total,362,214,85,57,47,36,6,3,112,58,10,6,622,373
