National team,Year,Competitive,Competitive,Friendly,Friendly,Total,Total
National team,Year,Apps,Goals,Apps,Goals,Apps,Goals
Brazil,2010,0,0,2,1,2,1
Brazil,2011,4[a],2,9,5,13,7
Brazil,2012,0,0,12,9,12,9
Brazil,2013,5[b],4,14,6,19,10
Brazil,2014,5[c],4,9,11,14,15
Brazil,2015,4[d],1,5,3,9,4
Brazil,2016,6[e],4,0,0,6,4
Brazil,2017,6[e],2,2,1,8,3
Brazil,2018,5[f],2,8,5,13,7
Brazil,2019,0,0,5,1,5,1
Brazil,2020,2[g],3,0,0,2,3
Brazil,2021,13[h],6,0,0,13,6
Brazil,2022,4[i],3,4,4,8,7
Brazil,2023,4[j],2,0,0,4,2
Total,Total,58,33,70,46,128,79
